price_id,instrument_id,price_date,open_price,high_price,low_price,close_price,volume,source,loaded_at
PRC0001,INS001,2026-09-10,268.46,276.06,262.55,273.8,387123,Public Market Data Feed,2026-09-10T00:00:00
PRC0002,INS001,2026-09-09,85.42,87.27,83.6,85.87,17663,Public Market Data Feed,2026-09-10T00:00:00
PRC0003,INS001,2026-09-08,59.49,61.35,57.47,60.43,105248,Public Market Data Feed,2026-09-10T00:00:00
PRC0004,INS001,2026-09-07,298.81,304.39,290.98,300.61,146852,Public Market Data Feed,2026-09-10T00:00:00
PRC0005,INS001,2026-09-06,326.68,341.36,325.94,333.3,179389,Public Market Data Feed,2026-09-10T00:00:00
PRC0006,INS001,2026-09-05,144.94,150.62,140.49,147.25,200191,Public Market Data Feed,2026-09-10T00:00:00
PRC0007,INS001,2026-09-04,83.59,85.37,82.36,83.85,383589,Public Market Data Feed,2026-09-10T00:00:00
PRC0008,INS001,2026-09-03,207.11,216.63,200.92,210.8,154709,Public Market Data Feed,2026-09-10T00:00:00
PRC0009,INS001,2026-09-02,337.69,349.09,331.13,340.29,370398,Public Market Data Feed,2026-09-10T00:00:00
PRC0010,INS001,2026-09-01,73.84,76.06,73.55,74.34,449432,Public Market Data Feed,2026-09-10T00:00:00
PRC0011,INS002,2026-09-10,129.12,132.58,128.25,131.48,192277,Public Market Data Feed,2026-09-10T00:00:00
PRC0012,INS002,2026-09-09,105.55,109.08,104.59,106.93,359375,Public Market Data Feed,2026-09-10T00:00:00
PRC0013,INS002,2026-09-08,274.65,278.23,271.04,276.81,86669,Public Market Data Feed,2026-09-10T00:00:00
PRC0014,INS002,2026-09-07,208.7,217.67,207.03,211.79,116141,Public Market Data Feed,2026-09-10T00:00:00
PRC0015,INS002,2026-09-06,288.7,296.35,277.78,289.61,17829,Public Market Data Feed,2026-09-10T00:00:00
PRC0016,INS002,2026-09-05,327.8,332.43,327.3,331.77,298365,Public Market Data Feed,2026-09-10T00:00:00
PRC0017,INS002,2026-09-04,351.84,363.74,344.54,356.73,480486,Public Market Data Feed,2026-09-10T00:00:00
PRC0018,INS002,2026-09-03,270.29,276.15,269.44,275.0,283579,Public Market Data Feed,2026-09-10T00:00:00
PRC0019,INS002,2026-09-02,140.78,145.78,137.13,141.96,115987,Public Market Data Feed,2026-09-10T00:00:00
PRC0020,INS002,2026-09-01,392.18,404.97,391.17,399.06,452465,Public Market Data Feed,2026-09-10T00:00:00
PRC0021,INS003,2026-09-10,87.72,90.48,85.45,88.38,34306,Public Market Data Feed,2026-09-10T00:00:00
PRC0022,INS003,2026-09-09,183.18,187.26,177.29,184.67,291049,Public Market Data Feed,2026-09-10T00:00:00
PRC0023,INS003,2026-09-08,344.33,358.87,343.29,351.27,282527,Public Market Data Feed,2026-09-10T00:00:00
PRC0024,INS003,2026-09-07,311.36,316.0,300.84,312.81,83920,Public Market Data Feed,2026-09-10T00:00:00
PRC0025,INS003,2026-09-06,208.61,214.29,200.56,208.8,263451,Public Market Data Feed,2026-09-10T00:00:00
PRC0026,INS003,2026-09-05,313.57,317.7,308.78,316.69,442277,Public Market Data Feed,2026-09-10T00:00:00
PRC0027,INS003,2026-09-04,271.49,274.88,268.29,273.63,283789,Public Market Data Feed,2026-09-10T00:00:00
PRC0028,INS003,2026-09-03,383.12,394.29,373.73,383.72,257170,Public Market Data Feed,2026-09-10T00:00:00
PRC0029,INS003,2026-09-02,56.74,58.32,55.87,56.82,162225,Public Market Data Feed,2026-09-10T00:00:00
PRC0030,INS003,2026-09-01,131.78,136.09,127.54,133.81,384730,Public Market Data Feed,2026-09-10T00:00:00
PRC0031,INS004,2026-09-10,216.0,225.12,215.84,220.1,68314,Public Market Data Feed,2026-09-10T00:00:00
PRC0032,INS004,2026-09-09,280.61,282.3,272.79,280.91,319029,Public Market Data Feed,2026-09-10T00:00:00
PRC0033,INS004,2026-09-08,194.98,201.31,193.98,198.1,106461,Public Market Data Feed,2026-09-10T00:00:00
PRC0034,INS004,2026-09-07,295.93,305.57,289.03,299.53,472656,Public Market Data Feed,2026-09-10T00:00:00
PRC0035,INS004,2026-09-06,227.09,232.71,222.72,231.15,309443,Public Market Data Feed,2026-09-10T00:00:00
PRC0036,INS004,2026-09-05,241.86,243.92,238.58,243.87,31866,Public Market Data Feed,2026-09-10T00:00:00
PRC0037,INS004,2026-09-04,129.88,133.49,123.99,130.13,125782,Public Market Data Feed,2026-09-10T00:00:00
PRC0038,INS004,2026-09-03,145.95,149.86,144.36,147.47,463622,Public Market Data Feed,2026-09-10T00:00:00
PRC0039,INS004,2026-09-02,247.23,255.75,245.45,249.87,100829,Public Market Data Feed,2026-09-10T00:00:00
PRC0040,INS004,2026-09-01,82.44,83.89,80.22,83.01,453899,Public Market Data Feed,2026-09-10T00:00:00
PRC9001,INS001,2026-09-10,10.0,8.0,12.0,-5.0,1000,Public Market Data Feed,2026-09-10T00:00:00
PRC9002,INS999,2026-09-10,100.0,105.0,95.0,101.0,500,Public Market Data Feed,2026-09-10T00:00:00
